subject,body,category
"Cheap medications, no prescription needed","Buy discounted medications online without a prescription. Fast, discreet shipping worldwide.",Spam
50% off your next order — this weekend only,Enjoy half off your next purchase this weekend only. Shop the sale before it ends.,News & Promotions
New blog post: tips for the semester ahead,Check out our latest blog post with tips to make the most of the semester ahead.,News & Promotions
You have won a prize! Claim now,Congratulations! You have been selected to win a cash prize. Click the link below and enter your bank details to claim it.,Spam
This month's event calendar is here,"Take a look at everything happening on campus this month, all in one place.",News & Promotions
New podcast episode: student stories,Our latest podcast episode features stories from students across different departments.,News & Promotions
Following up ahead of the deadline,Following up ahead of the deadline just to confirm we're still on track.,Follow-Up
Announcing our new mobile app,"We're thrilled to announce the launch of our new mobile app, packed with features requested by our community.",News & Promotions
Highlights from this year's alumni meet,A quick roundup of highlights and photos from this year's alumni meet-up.,News & Promotions
Power outage scheduled — back up your work now,A scheduled power outage will affect the lab in the next hour. Please save and back up your work immediately.,Urgent
Following up on the feedback form,Just following up on the feedback form I sent over — let me know if you have any questions.,Follow-Up
Save the date: annual fest is back,Mark your calendars — the annual fest returns next month with a full lineup of events.,News & Promotions
Free trial — no credit card needed (terms apply),"Start your free trial today, no credit card needed — just confirm your account details to begin.",Spam
This week in campus news,"Catch up on what happened around campus this week, from club events to the latest research highlights from the department.",News & Promotions
Your document verification appointment is today,Your document verification appointment is scheduled for today at 3 PM. Please bring the originals and arrive 15 minutes early.,Urgent
Still waiting to hear back on this,Just following up since I haven't heard back yet. Let me know if you need anything else from my end.,Follow-Up
Your internship certificate is ready for download,Your internship completion certificate has been generated and is available for download from the portal.,Job/Internship
Wanted to follow up before the week ends,Following up before the week wraps up — let me know if this is still on your radar.,Follow-Up
Checking if you received my last message,Just making sure my last message reached you — happy to resend if needed.,Follow-Up
Summer internship program applications now open,"Applications for our 10-week summer internship program are now open. Explore tracks in engineering, product, and design.",Job/Internship
You have a new voicemail — listen now,You have a new voicemail message waiting. Click the link and sign in to listen now.,Spam
Final reminder: submit your project report by 5 PM,This is the final reminder to submit your project report before the 5 PM deadline today. Late submissions will not be accepted.,Urgent
Your monthly account summary is ready,Your monthly account summary and activity overview is now ready to view.,News & Promotions
Last call: RSVP for the placement orientation,This is the last call to RSVP for tomorrow's placement orientation. Unconfirmed students will not be allowed entry.,Urgent
Did my last email come through?,Not sure if my earlier message landed in your inbox. Wanted to follow up in case it got buried — let me know your thoughts.,Follow-Up
Internship extended — action needed to continue,Your internship extension has been approved. Please confirm your continued availability by replying to this email.,Job/Internship
You're invited: guest lecture series kicks off next month,We're excited to announce our new guest lecture series featuring speakers from across the industry. Mark your calendar.,News & Promotions
Please sign and return the internship offer today,We need your signed offer letter returned to HR by 5 PM today to lock in your internship start date.,Urgent
Hot singles in your area want to meet you,Someone near you is interested in chatting. Sign up now to see who's waiting to meet you.,Spam
5 new jobs matching 'frontend developer' near you,We found new openings that match your saved search. Companies hiring this week include three mid-size product firms.,Job/Internship
Following up on our call yesterday,Following up on a couple of points from our call yesterday — let me know your thoughts when you can.,Follow-Up
Recruiter wants to schedule a call with you,A recruiter reviewed your application and would like to schedule a short call this week to discuss next steps.,Job/Internship
Exclusive investment opportunity — guaranteed returns,Join our exclusive investment club for guaranteed high returns with zero risk.,Spam
New job alert: openings at companies you follow,Companies you follow just posted new openings that match your saved preferences.,Job/Internship
Emergency: campus closed tomorrow due to weather,"Due to severe weather conditions, campus will be closed tomorrow. All exams and classes are rescheduled — check the portal for new timings.",Urgent
Update on your job application timeline,Here is an update on where your application stands and what to expect over the next two weeks.,Job/Internship
Your account will be deactivated in 24 hours,Please verify your enrollment status within the next 24 hours or your student account access will be deactivated.,Urgent
Time-sensitive: scholarship application closes tonight,The scholarship application portal closes at midnight tonight. Submit all required documents before then to be considered.,Urgent
URGENT: verify your account or it will be suspended,We detected unusual activity on your account. Verify your login credentials immediately by clicking this link to avoid suspension.,Spam
Free iPhone giveaway — limited slots left,"You've been randomly selected for a free iPhone giveaway. Only a few slots remain, claim yours before it's too late.",Spam
Your ID card must be collected by 4 PM today,Your new ID card is ready for collection at the admin office. Please collect it before 4 PM today.,Urgent
Confirm your presence for the surprise inspection,An inspection team will visit your lab tomorrow morning. Please confirm your presence by replying within the hour.,Urgent
You've been pre-selected for a platinum credit card,You are pre-selected for our platinum credit card with no annual fee. Apply now with your SSN and income details.,Spam
Offer letter attached — please review,Congratulations! Please find your offer letter attached. Review the terms and let us know if you have questions.,Job/Internship
Take-home assignment for the next round,"As part of the next interview round, please complete the attached take-home assignment within 5 days.",Job/Internship
A friendly follow-up on the document,A friendly follow-up on the document I shared — let me know if it needs any changes.,Follow-Up
Overdue: internal assessment marks not submitted,Your internal assessment marks are overdue. Submit them before end of day to avoid a hold on result processing.,Urgent
Community spotlight: member of the month,Meet this month's featured community member and learn about their journey.,News & Promotions
Sports club recap: highlights from last month's matches,"A quick recap of last month's matches, including standout performances and the updated league table.",News & Promotions
"Interview scheduled for Thursday, 10 AM",Your interview with the hiring panel has been scheduled for Thursday at 10 AM. Please reply to confirm your availability by end of day.,Urgent
Any thoughts on the proposal I sent?,Curious if you've had a chance to look over the proposal I sent last week.,Follow-Up
Upcoming maintenance window this weekend,We'll be performing scheduled maintenance this weekend; some services may be briefly unavailable.,News & Promotions
Your background verification has started,Your background verification process for the offered role has started and may take a few business days.,Job/Internship
Early bird pricing ends soon,Early bird pricing for the upcoming conference ends this week — register to lock in the discount.,News & Promotions
Reminder: complete your candidate profile,Complete your candidate profile to be considered for upcoming internship openings this season.,Job/Internship
Refund pending — confirm your bank details,A refund is pending on your account. Confirm your bank details to receive the payment.,Spam
Security alert: unusual sign-in attempt detected,"An unusual sign-in attempt was detected from a new device. If this wasn't you, click here to secure your account immediately.",Spam
Your application was shared with the hiring manager,Your application has been forwarded to the hiring manager for further review.,Job/Internship
Company X is hiring for summer internships,Company X just opened applications for their summer internship program in your field of interest.,Job/Internship
Please respond before we release your seat,We have not received your confirmation. Respond within the next few hours or your seat will be released to the waitlist.,Urgent
Library book overdue — fine accruing,The book you borrowed is now overdue and a daily fine is accruing on your account. Please return it at the earliest to avoid a hold on your ID.,Urgent
Immediate response needed: thesis committee change,Your thesis committee has requested a change to your defense date. Please respond today so we can finalize the new schedule.,Urgent
Your loyalty points are about to expire,A reminder that your accumulated loyalty points are set to expire at the end of the month.,News & Promotions
Critical: server migration happening tonight,A critical server migration is scheduled tonight. Save all your work and log off before 11 PM to avoid data loss.,Urgent
Act now: your domain is about to expire,Your domain registration is about to expire. Renew immediately by providing your payment information.,Spam
Payment failed — retry now to avoid losing your slot,"Your payment for the workshop did not go through. Retry now, as slots are limited and filling quickly.",Urgent
Campus placement drive: register by tonight,The placement cell is organizing a campus drive next week. Students interested in participating should register through the portal.,Job/Internship
Invitation to connect with our alumni recruiter,One of our alumni now recruiting at a growing company would like to connect with you about opportunities.,Job/Internship
Quick check-in: any update on the group project slides?,"Wanted to check if you've had time to finish your section of the slides. No rush, just want to plan our next meeting.",Follow-Up
Just checking back on this,Wanted to check back on this whenever you get a moment — no rush at all.,Follow-Up
Your flight check-in closes in 3 hours,This is a reminder that online check-in for your flight tomorrow closes in 3 hours. Please complete it to secure your seat.,Urgent
Urgent correction needed on your submitted form,We found an error on your submitted form that needs to be corrected today to avoid delays in processing.,Urgent
